"District";"State";"Area_km2";"Population"
"Adilabad";"Andhra Pradesh";16105.0;2741239.0
"Agra";"Uttar Pradesh";4041.0;4418797.0
"Ahmadabad";"Gujarat";8107.0;7214225.0
"Ahmadnagar";"Maharashtra";17048.0;4543159.0
"Aizawl";"Mizoram";3576.0;400309.0
"Ajmer";"Rajasthan";8481.0;2583052.0
"Akola";"Maharashtra";5676.0;1813906.0
"Alappuzha";"Kerala";1415.0;2127789.0
"Aligarh";"Uttar Pradesh";3650.0;3673889.0
"Alirajpur";"Madhya Pradesh";3182.0;728999.0
"Allahabad";"Uttar Pradesh";5482.0;5954391.0
"Almora";"Uttarakhand";3144.0;622506.0
"Alwar";"Rajasthan";8380.0;3674179.0
"Ambala";"Haryana";1574.0;1128350.0
"Ambedkar Nagar";"Uttar Pradesh";2350.0;2397888.0
"Amravati";"Maharashtra";12210.0;2888445.0
"Amreli";"Gujarat";7397.0;1514190.0
"Amritsar";"Punjab";2683.0;2490656.0
"Anand";"Gujarat";3204.0;2092745.0
"Anantapur";"Andhra Pradesh";19130.0;4081148.0
"Anantnag";"Jammu and Kashmir";3574.0;1078692.0
"Anjaw";"Arunachal Pradesh";6190.0;21167.0
"Anugul";"Orissa";6375.0;1273821.0
"Anuppur";"Madhya Pradesh";3747.0;749237.0
"Araria";"Bihar";2830.0;2811569.0
"Ariyalur";"Tamil Nadu";1940.0;754894.0
"Arwal";"Bihar";638.0;700843.0
"Ashoknagar";"Madhya Pradesh";4674.0;845071.0
"Auraiya";"Uttar Pradesh";2016.0;1379545.0
"Aurangabad";"Maharashtra";3305.0;2540073.0
"Aurangabad";"Maharashtra";10107.0;3701282.0
"Azamgarh";"Uttar Pradesh";4054.0;4613913.0
"Badgam";"Jammu and Kashmir";1361.0;753745.0
"Bagalkot";"Karnataka";6552.0;1889752.0
"Bageshwar";"Uttarakhand";2241.0;259898.0
"Baghpat";"Uttar Pradesh";1321.0;1303048.0
"Bahraich";"Uttar Pradesh";5237.0;3487731.0
"Baksa";"Assam";2457.0;950075.0
"Balaghat";"Madhya Pradesh";9229.0;1701698.0
"Balangir";"Orissa";6575.0;1648997.0
"Baleshwar";"Orissa";3806.0;2320529.0
"Ballia";"Uttar Pradesh";2981.0;3239774.0
"Balrampur";"Uttar Pradesh";3349.0;2148665.0
"Banaskantha";"Gujarat";10743.0;3120506.0
"Banda";"Uttar Pradesh";4408.0;1799410.0
"Bandipora";"Jammu and Kashmir";345.0;392232.0
"Bangalore";"Karnataka";2196.0;9621551.0
"Bangalore Rural";"Karnataka";2298.0;990923.0
"Banka";"Bihar";3020.0;2034763.0
"Bankura";"West Bengal";6882.0;3596674.0
"Banswara";"Rajasthan";4522.0;1797485.0
"Barabanki";"Uttar Pradesh";4402.0;3260699.0
"Baramula";"Jammu and Kashmir";4243.0;1008039.0
"Baran";"Rajasthan";6992.0;1222755.0
"Barddhaman";"West Bengal";7024.0;7717563.0
"Bareilly";"Uttar Pradesh";4120.0;4448359.0
"Bargarh";"Orissa";5837.0;1481255.0
"Barmer";"Rajasthan";28387.0;2603751.0
"Barnala";"Punjab";1482.0;595527.0
"Barpeta";"Assam";2282.0;1693622.0
"Barwani";"Madhya Pradesh";5427.0;1385881.0
"Bastar";"Chhattisgarh";10470.0;1413199.0
"Basti";"Uttar Pradesh";2688.0;2464464.0
"Bathinda";"Punjab";3353.0;1388525.0
"Baudh";"Orissa";3098.0;441162.0
"Begusarai";"Bihar";1918.0;2970541.0
"Belgaum";"Karnataka";13433.0;4779661.0
"Bellary";"Karnataka";8461.0;2452595.0
"Betul";"Madhya Pradesh";10043.0;1575362.0
"Bhadrak";"Orissa";2505.0;1506337.0
"Bhagalpur";"Bihar";2569.0;3037766.0
"Bhandara";"Maharashtra";4087.0;1200334.0
"Bharatpur";"Rajasthan";5066.0;2548462.0
"Bharuch";"Gujarat";6509.0;1551019.0
"Bhavnagar";"Gujarat";10034.0;2880365.0
"Bhilwara";"Rajasthan";10455.0;2408523.0
"Bhind";"Madhya Pradesh";4459.0;1703005.0
"Bhiwani";"Haryana";4778.0;1634445.0
